Å¶1Ç¬ÇÃåöï®ÇÃélã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ínê}(ñkÇ™è„)Ç…ï`Ç©ÇÍÇƒÇ¢ÇÈåöï®ÇÃç∂è„Å®âEè„Å®ç∂â∫Å®âEâ∫ÇÃèáÇ≈élã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶xÇÕåöï®ÇÃélã˜ÇÃxç¿ïWÇÅAyÇÕåöï®ÇÃélã˜ÇÃyç¿ïWÇÅAÇàÇÕåöï®ÇÃçÇÇ≥Çé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ç¿ïWÇÃå¥ì_ÇÕïΩòaí ÇËÇ∆èüéRí ÇËÇ™åÇÌÇÈãõí¨åç∑ì_ÇÃê^ÇÒíÜÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],âìï˚ÇÃçÇÇ¢ÉrÉã,,,,,,,,,,
,,-308.8,318.9,15,ëDì™í¨ÇRî‘,,-329.3,187.6,15,ãûí¨ÇPíöñ⁄ÇUî‘ín,,-124.2,264.1,8,ãûí¨ÇQíöñ⁄ÇRî‘ín,,-191.2,108.3,10,ãõí¨ÇPíöñ⁄ÇQî‘ín,,-288.2,478.4,39,êÛñÏ2íöñ⁄,,,,,,,,,,
,,-300.1,318.0,15,,,-320.3,186.1,15,,,-115.6,259.7,8,,,-170.2,104.3,10,,,-276.7,478.9,39,,,,,,,,,,,
,,-310.4,300.3,15,,,-330.8,183.6,15,,,-128.8,254.9,8,,,-193.1,97.7,10,,,-287.7,468.0,39,,,,,,,,,,,
,,-302.0,299.0,15,,,-321.3,179.7,15,,,-119.7,250.6,8,,,-171.8,93.9,10,,,-276.3,466.5,39,,,,,,,,,,,
,,-269.9,310.4,18,,,-315.6,196.4,11,,,-105.9,257.7,7,,,-194.1,96.7,14,,,-281.7,462.6,24,,,,,,,,,,,
,,-243.1,303.1,18,,,-302.8,193.7,11,,,-95.5,252.8,7,,,-172.1,92.9,14,,,-256.4,462.5,24,,,,,,,,,,,
,,-270.0,287.2,18,,,-317.5,187.6,11,,,-111.8,244.7,7,,,-197.9,77.2,14,,,-280.7,459.1,24,,,,,,,,,,,
,,-243.6,283.4,18,,,-304.7,184.9,11,,,-101.6,240.1,7,,,-175.6,72.9,14,,,-256.4,456.1,24,,,,,,,,,,,
,,-231.0,301.1,13,,,-286.6,192.2,5,,,-73.4,232.0,7,,,-168.7,103.2,15,,,-249.5,472.9,30,,,,,,,,,,,
,,-215.6,295.7,13,,,-272.5,189.8,5,,,-62.4,225.1,7,,,-160.8,101.9,15,,,-230.1,479.8,30,,,,,,,,,,,
,,-231.7,296.7,13,,,-287.9,184.2,5,,,-76.7,226.1,7,,,-174.6,73.4,15,,,-244.5,458.1,30,,,,,,,,,,,
,,-221.0,292.4,13,,,-273.9,181.5,5,,,-66.0,219.7,7,,,-166.5,71.7,15,,,-224.2,463.5,30,,,,,,,,,,,
,,-215.6,295.7,13,,,-271.0,190.5,8,,,-157.1,263.1,7,ãûí¨ÇQíöñ⁄ÇSî‘ín,,-198.4,75.9,15,,,-165.1,452.6,42,,,,,,,,,,,
,,-174.5,282.3,13,,,-235.9,185.2,8,,,-136.2,252.4,7,,,-172.9,70.8,15,,,-130.4,448.1,42,,,,,,,,,,,
,,-215.0,272.5,13,,,-274.6,165.2,8,,,-159.6,252.6,7,,,-203.6,47.6,15,,,-165.1,443.2,42,,,,,,,,,,,
,,-175.8,276.3,13,,,-240.0,161.0,8,,,-140.5,244.2,7,,,-178.3,42.7,15,,,-131.9,438.7,42,,,,,,,,,,,
,,-311.1,293.7,7,,,-208.9,178.9,8,,,-160.4,251.4,13,,,-171.6,71.0,7,,,-286.2,430.0,25,,,,,,,,,,,
,,-295.3,293.9,7,,,-196.7,176.2,8,,,-149.7,246.5,13,,,-164.3,69.9,7,,,-274.3,430.0,25,,,,,,,,,,,
,,-311.2,286.5,7,,,-210.8,168.6,8,,,-163.2,239.2,13,,,-177.3,42.2,7,,,-285.7,421.1,25,,,,,,,,,,,
,,-295.2,286.3,7,,,-198.3,166.2,8,,,-155.0,235.6,13,,,-169.7,40.6,7,,,-273.8,421.1,25,,,,,,,,,,,
,,-229.6,292.4,35,,,-330.0,174.7,8,,,-148.4,246.3,7,,,-159.5,101.6,12,,,-271.3,431.9,35,,,,,,,,,,,
,,-221.1,292.8,35,,,-314.7,171.8,8,,,-141.0,243.0,7,,,-143.6,98.1,12,,,-260.9,431.4,35,,,,,,,,,,,
,,-230.6,255.8,35,,,-331.6,164.7,8,,,-154.3,235.1,7,,,-162.8,86.4,12,,,-271.4,421.6,35,,,,,,,,,,,
,,-221.7,255.3,35,,,-316.6,162.0,8,,,-146.1,231.0,7,,,-146.6,83.2,12,,,-260.9,421.6,35,,,,,,,,,,,
,,-188.9,274.4,4,,,-331.1,163.9,30,,,-116.1,238.6,9,,,-160.5,84.6,15,,,-204.4,414.6,30,,,,,,,,,,,
,,-177.3,273.8,4,,,-317.1,161.2,30,,,-110.8,236.8,9,,,-146.6,82.4,15,,,-193.5,412.1,30,,,,,,,,,,,
,,-189.5,264.5,4,,,-333.0,153.9,30,,,-121.5,222.3,9,,,-165.7,57.3,15,,,-211.4,390.4,30,,,,,,,,,,,
,,-178.9,264.9,4,,,-319.0,151.5,30,,,-115.9,220.5,9,,,-152.0,54.8,15,,,-200.4,387.4,30,,,,,,,,,,,
,,-312.4,284.3,15,,,-333.0,152.7,8,,,-109.2,234.9,14,,,-166.2,56.8,10,,,-161.2,406.6,22,,,,,,,,,,,
,,-235.4,282.0,15,,,-323.7,151.3,8,,,-88.4,224.8,14,,,-151.8,54.3,10,,,-144.4,399.7,22,,,,,,,,,,,
,,-314.6,253.6,15,,,-335.2,140.9,8,,,-114.3,220.0,14,,,-169.5,40.6,10,,,-164.2,396.3,22,,,,,,,,,,,
,,-235.6,247.5,15,,,-325.7,139.0,8,,,-95.3,210.9,14,,,-155.3,37.8,10,,,-147.3,392.3,22,,,,,,,,,,,
,,-201.9,273.2,7,,,-322.2,151.3,30,,,-77.5,216.7,7,,,-205.2,39.7,10,ãõí¨ÇPíöñ⁄ÇPî‘ín,,-68.3,535.4,30,,,,,,,,,,,
,,-196.0,273.2,7,,,-319.2,150.7,30,,,-65.0,211.6,7,,,-156.2,28.5,10,,,-28.6,529.4,30,,,,,,,,,,,
,,-202.9,246.0,7,,,-324.7,139.8,30,,,-81.0,207.3,7,,,-211.5,9.6,10,,,-74.7,529.5,30,,,,,,,,,,,
,,-197.5,246.5,7,,,-321.4,138.2,30,,,-68.8,202.2,7,,,-162.9,-1.6,10,,,-31.6,518.6,30,,,,,,,,,,,
,,-195.4,264.4,18,,,-313.7,172.5,12,,,-169.6,210.7,15,ãûí¨ÇQíöñ⁄ÇQî‘ín,,-210.9,6.7,37,,,-24.1,529.9,20,,,,,,,,,,,
,,-177.4,264.2,18,,,-288.1,168.1,12,,,-146.7,205.0,15,,,-206.4,6.2,37,,,15.1,518.5,20,,,,,,,,,,,
,,-195.3,244.7,18,,,-320.2,138.2,12,,,-175.9,184.0,15,,,-212.9,-5.7,37,,,-32.6,500.3,20,,,,,,,,,,,
,,-181.5,241.9,18,,,-294.6,133.8,12,,,-154.3,178.8,15,,,-209.4,-8.6,37,,,6.6,490.9,20,,,,,,,,,,,
,,-314.3,245.7,15,ëDì™í¨ÇQî‘,,-287.4,167.9,30,,,-140.8,221.3,12,,,-206.4,6.2,37,,,48.3,515.5,20,,,,,,,,,,,
,,-296.7,245.1,15,,,-268.6,164.4,30,,,-126.3,217.5,12,,,-192.5,4.1,37,,,120.7,495.2,20,,,,,,,,,,,
,,-314.9,241.5,15,,,-293.6,133.3,30,,,-152.8,178.6,12,,,-209.4,-8.6,37,,,43.3,497.3,20,,,,,,,,,,,
,,-297.0,240.1,15,,,-274.8,129.8,30,,,-139.1,176.0,12,,,-195.8,-13.1,37,,,114.7,476.9,20,,,,,,,,,,,
,,-316.2,232.6,6,,,-255.1,160.4,25,,,-126.3,217.0,12,,,-192.0,-0.3,13,,,36.9,491.8,30,,,,,,,,,,,
,,-293.6,230.4,6,,,-235.8,157.1,25,,,-120.7,215.5,12,,,-164.2,-6.2,13,,,57.7,485.4,30,,,,,,,,,,,
,,-316.8,222.7,6,,,-261.3,127.6,25,,,-131.4,198.4,12,,,-193.9,-6.8,13,,,33.4,480.0,30,,,,,,,,,,,
,,-294.2,221.0,6,,,-242.3,123.8,25,,,-125.8,196.6,12,,,-165.3,-12.8,13,,,53.7,473.5,30,,,,,,,,,,,
,,-318.1,215.5,6,,,-216.1,151.1,18,,,-130.4,196.6,11,,,-193.4,-8.1,5,,,-88.7,490.5,33,,,,,,,,,,,
,,-303.7,213.1,6,,,-200.8,148.4,18,,,-118.2,193.3,11,,,-186.8,-9.2,5,,,-78.8,487.0,33,,,,,,,,,,,
,,-319.7,204.6,6,,,-218.0,142.1,18,,,-137.5,176.0,11,,,-194.5,-13.4,5,,,-93.2,474.2,33,,,,,,,,,,,
,,-305.8,202.7,6,,,-202.9,139.4,18,,,-124.1,172.4,11,,,-188.4,-15.5,5,,,-80.3,477.6,33,,,,,,,,,,,
,,-302.2,220.8,6,,,-230.0,143.5,12,,,-107.7,210.1,10,ãûí¨ÇQíöñ⁄ÇTî‘ín,,-185.6,-9.2,17,,,-41.1,433.2,20,,,,,,,,,,,
,,-298.7,220.3,6,,,-215.7,140.8,12,,,-72.6,197.9,10,,,-179.7,-10.3,17,,,-32.2,435.1,20,,,,,,,,,,,
,,-305.0,202.7,6,,,-234.0,122.5,12,,,-119.5,170.9,10,,,-187.4,-15.3,17,,,-36.7,417.3,20,,,,,,,,,,,
,,-301.3,202.0,6,,,-219.8,119.8,12,,,-80.6,162.5,10,,,-180.6,-16.6,17,,,-27.2,419.8,20,,,,,,,,,,,
,,-272.3,235.7,4,,,-215.2,140.3,10,,,-66.0,208.0,11,,,-178.2,-10.8,29,,,-5.4,442.0,20,,,,,,,,,,,
,,-229.9,234.8,4,,,-203.2,138.4,10,,,-46.2,202.9,11,,,-165.6,-14.3,29,,,19.4,448.9,20,,,,,,,,,,,
,,-274.6,224.6,4,,,-219.5,119.8,10,,,-72.6,179.5,11,,,-179.8,-17.4,29,,,2.5,414.3,20,,,,,,,,,,,
,,-230.5,220.2,4,,,-207.5,117.9,10,,,-53.1,174.9,11,,,-166.7,-20.4,29,,,27.3,421.2,20,,,,,,,,,,,
