è¨ëqÇÃì`î¿ëπé∏ÉfÅ[É^,,,,H30.6.15,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ç¿ïWx,ç¿ïWy,"ì`î¿ëπé∏
Loss",ìπòHÇ…âàÇ¡ÇΩãóó£,ëóéÛêMä‘ãóó£,ìπòHïù,ìπòHäp,ÉRÅ[ÉXñº,,,
[m],[m],[dB],[m],[m],[m],[Åã],,,,
-336.1,196.9,88.8,10,138.4,31,71.1,á@,,,
-337.7,187.0,89.8,20,142.0,31,67.2,á@,,,
-339.3,177.2,88.0,30,146.1,31,63.6,á@,,,
-341.0,167.3,92.5,40,150.8,31,60.2,á@,,,
-342.6,157.5,94.7,50,156.1,31,57.0,á@,,,
-344.3,147.6,97.7,60,161.7,31,54.1,á@,,,
-345.9,137.7,97.9,70,167.8,31,51.3,á@,,,
-347.6,127.9,100.5,80,174.2,31,48.7,á@,,,
-349.2,118.0,100.7,90,181.0,31,46.3,á@,,,
-350.8,108.1,97.5,100,188.0,31,44.1,á@,,,
-352.5,98.3,100.5,110,195.3,31,42.1,á@,,,
-354.1,88.4,100.1,120,202.8,31,40.2,á@,,,
-355.8,78.5,101.9,130,210.6,31,38.4,á@,,,
-357.4,68.7,100.8,140,218.5,31,36.8,á@,,,
-359.0,58.8,102.8,150,226.6,31,35.3,á@,,,
-360.7,48.9,104.6,160,234.8,12,33.9,á@,,,
-362.3,39.1,105.5,170,243.2,12,32.6,á@,,,
-364.0,29.2,107.2,180,251.7,12,31.3,á@,,,
-365.6,19.3,110.4,190,260.3,12,30.2,á@,,,
-367.2,9.5,110.9,200,268.9,12,29.1,á@,,,
-368.9,-0.4,113.0,210,277.7,12,28.1,á@,,,
-370.5,-10.2,113.4,220,286.6,12,27.2,á@,,,
-372.2,-20.1,115.5,230,295.5,12,26.3,á@,,,
-373.8,-30.0,114.5,240,304.5,12,25.5,á@,,,
-375.4,-39.8,114.6,250,313.6,12,24.7,á@,,,
-377.1,-49.7,117.6,260,322.7,12,23.9,á@,,,
-378.7,-59.6,114.5,270,331.8,12,23.2,á@,,,
-380.4,-69.4,108.9,280,341.1,12,22.6,á@,,,
-382.0,-79.3,114.1,290,350.3,12,21.9,á@,,,
-383.6,-89.2,116.8,300,359.6,12,21.4,á@,,,
-385.3,-99.0,116.8,310,368.9,12,20.8,á@,,,
-386.9,-108.9,119.7,320,378.3,12,20.2,á@,,,
-388.5,-123.4,118.7,330,391.7,12,28.8,á@,,,
-388.5,-133.4,120.6,340,400.5,18,28.1,á@,,,
-388.5,-143.4,122.9,350,409.3,18,27.4,á@,,,
